"daysort","cpp","sn","id","si","date","hpc","year","month","day"
50,1.253937,"Sentinel-2A","20190902T025541_20190902T030145_T50SNH",0.000587,2019-09-02 03:07:14,0.137926,"2019","09","02 03:07:14"
51,4.00588,"Sentinel-2B","20190907T025549_20190907T030509_T50SNJ",0.001778,2019-09-07 03:07:01,0.176768,"2019","09","07 03:07:01"
52,2.527686,"Sentinel-2B","20190907T025549_20190907T030509_T50SNH",0.001035,2019-09-07 03:07:15,0.091738,"2019","09","07 03:07:15"
53,3.255799,"Sentinel-2A","20190922T025541_20190922T030015_T50SNJ",0.001894,2019-09-22 03:06:59,0.16996,"2019","09","22 03:06:59"
54,19.370941,"Sentinel-2A","20190922T025541_20190922T030015_T50SNH",0.000471,2019-09-22 03:07:14,8.631345,"2019","09","22 03:07:14"
55,1.255002,"Sentinel-2B","20190927T025549_20190927T030344_T50SNJ",0.002906,2019-09-27 03:06:59,0.212843,"2019","09","27 03:06:59"
56,3.016111,"Sentinel-2B","20190927T025549_20190927T030344_T50SNH",0.000418,2019-09-27 03:07:13,1.120212,"2019","09","27 03:07:13"
57,1.68301,"Sentinel-2A","20191002T025551_20191002T030635_T50SNJ",0.00208,2019-10-02 03:07:00,0.159999,"2019","10","02 03:07:00"
58,0.651882,"Sentinel-2A","20191002T025551_20191002T030635_T50SNH",0.001218,2019-10-02 03:07:15,0.045418,"2019","10","02 03:07:15"
59,0.773183,"Sentinel-2B","20191007T025609_20191007T030522_T50SNJ",0.002001,2019-10-07 03:07:00,0.242747,"2019","10","07 03:07:00"
60,0.535692,"Sentinel-2B","20191007T025609_20191007T030522_T50SNH",0.000458,2019-10-07 03:07:14,0.096403,"2019","10","07 03:07:14"
61,2.113928,"Sentinel-2A","20191022T025751_20191022T030336_T50SNJ",0.00278,2019-10-22 03:07:02,0.088301,"2019","10","22 03:07:02"
62,11.656647,"Sentinel-2A","20191022T025751_20191022T030336_T50SNH",0.001052,2019-10-22 03:07:17,0.050013,"2019","10","22 03:07:17"
63,0.737961,"Sentinel-2B","20191027T025819_20191027T030014_T50SNJ",0.002734,2019-10-27 03:07:00,0.148052,"2019","10","27 03:07:00"
64,1.834602,"Sentinel-2B","20191027T025819_20191027T030014_T50SNH",0.00079,2019-10-27 03:07:14,0.047943,"2019","10","27 03:07:14"
65,13.426183,"Sentinel-2A","20191101T025841_20191101T030255_T50SNH",0.001204,2019-11-01 03:07:16,0.287879,"2019","11","01 03:07:16"
66,0.61894,"Sentinel-2A","20191111T025941_20191111T030436_T50SNJ",0.004479,2019-11-11 03:07:01,0.235382,"2019","11","11 03:07:01"
67,0.390277,"Sentinel-2A","20191111T025941_20191111T030436_T50SNH",0.000295,2019-11-11 03:07:16,0.079366,"2019","11","11 03:07:16"
68,5.375666,"Sentinel-2B","20191206T030109_20191206T030250_T50SNH",0.000886,2019-12-06 03:07:07,0.048119,"2019","12","06 03:07:07"
69,3.24392,"Sentinel-2A","20191211T030121_20191211T030118_T50SNJ",0.031656,2019-12-11 03:06:55,0.144598,"2019","12","11 03:06:55"
70,3.569799,"Sentinel-2A","20191211T030121_20191211T030118_T50SNH",0.017971,2019-12-11 03:07:08,0.049133,"2019","12","11 03:07:08"
71,17.869256,"Sentinel-2A","20191221T030121_20191221T030124_T50SNJ",9.043548,2019-12-21 03:06:53,2.324924,"2019","12","21 03:06:53"
72,13.979928,"Sentinel-2A","20200110T030101_20200110T030102_T50SNJ",11.315603,2020-01-10 03:06:52,0.869787,"2020","01","10 03:06:52"
73,9.813419,"Sentinel-2B","20200115T030049_20200115T030323_T50SNJ",4.623559,2020-01-15 03:06:53,0.158321,"2020","01","15 03:06:53"
74,11.334335,"Sentinel-2B","20200115T030049_20200115T030323_T50SNH",0.275049,2020-01-15 03:07:07,0.067916,"2020","01","15 03:07:07"
75,4.4823,"Sentinel-2A","20200120T030021_20200120T030612_T50SNJ",2.606868,2020-01-20 03:06:52,0.260146,"2020","01","20 03:06:52"
76,4.746271,"Sentinel-2A","20200120T030021_20200120T030612_T50SNH",0.138775,2020-01-20 03:07:07,0.075829,"2020","01","20 03:07:07"
77,2.098606,"Sentinel-2A","20200130T025941_20200130T030534_T50SNJ",1.216265,2020-01-30 03:06:51,0.114114,"2020","01","30 03:06:51"
78,1.822247,"Sentinel-2A","20200130T025941_20200130T030534_T50SNH",0.036141,2020-01-30 03:07:06,0.061503,"2020","01","30 03:07:06"
79,19.776144,"Sentinel-2B","20200204T025919_20200204T030518_T50SNJ",17.279337,2020-02-04 03:06:52,3.794733,"2020","02","04 03:06:52"
80,8.18991,"Sentinel-2B","20200305T025609_20200305T030515_T50SNJ",0.003461,2020-03-05 03:06:56,1.790705,"2020","03","05 03:06:56"
81,6.380579,"Sentinel-2B","20200305T025609_20200305T030515_T50SNH",0.000149,2020-03-05 03:07:11,0.078832,"2020","03","05 03:07:11"
82,3.851961,"Sentinel-2A","20200310T025541_20200310T030130_T50SNJ",0.003122,2020-03-10 03:06:55,0.237743,"2020","03","10 03:06:55"
83,5.501969,"Sentinel-2A","20200310T025541_20200310T030130_T50SNH",0.000312,2020-03-10 03:07:09,0.272985,"2020","03","10 03:07:09"
84,0.6775,"Sentinel-2B","20200315T025539_20200315T025542_T50SNJ",0.002196,2020-03-15 03:06:57,0.168012,"2020","03","15 03:06:57"
85,0.723637,"Sentinel-2B","20200315T025539_20200315T025542_T50SNH",0.000537,2020-03-15 03:07:11,0.099127,"2020","03","15 03:07:11"
86,2.840721,"Sentinel-2B","20200404T025539_20200404T030044_T50SNJ",0.00149,2020-04-04 03:06:56,0.078483,"2020","04","04 03:06:56"
87,4.793063,"Sentinel-2B","20200404T025539_20200404T030044_T50SNH",0.0014,2020-04-04 03:07:10,0.087491,"2020","04","04 03:07:10"
88,10.714959,"Sentinel-2B","20200414T025539_20200414T025649_T50SNJ",0.001294,2020-04-14 03:06:54,0.09209,"2020","04","14 03:06:54"
89,5.70804,"Sentinel-2B","20200414T025539_20200414T025649_T50SNH",0.001085,2020-04-14 03:07:09,0.043304,"2020","04","14 03:07:09"
90,2.161269,"Sentinel-2B","20200424T025539_20200424T025925_T50SNJ",0.001443,2020-04-24 03:06:53,0.357235,"2020","04","24 03:06:53"
91,5.508512,"Sentinel-2B","20200424T025539_20200424T025925_T50SNH",0.003072,2020-04-24 03:07:08,0.230716,"2020","04","24 03:07:08"
92,2.191973,"Sentinel-2A","20200429T025551_20200429T030455_T50SNJ",0.002558,2020-04-29 03:07:01,0.112986,"2020","04","29 03:07:01"
93,2.579812,"Sentinel-2A","20200429T025551_20200429T030455_T50SNH",0.001393,2020-04-29 03:07:16,0.249641,"2020","04","29 03:07:16"
94,0.978823,"Sentinel-2A","20200519T025551_20200519T030140_T50SNJ",0.000833,2020-05-19 03:07:04,0.343029,"2020","05","19 03:07:04"
95,2.663481,"Sentinel-2A","20200519T025551_20200519T030140_T50SNH",0.001118,2020-05-19 03:07:19,0.156058,"2020","05","19 03:07:19"
96,1.469922,"Sentinel-2B","20200524T025549_20200524T025900_T50SNJ",0.002614,2020-05-24 03:06:59,0.433002,"2020","05","24 03:06:59"
97,5.33042,"Sentinel-2B","20200524T025549_20200524T025900_T50SNH",0.001161,2020-05-24 03:07:14,0.078298,"2020","05","24 03:07:14"
98,5.760731,"Sentinel-2B","20200603T025549_20200603T030230_T50SNJ",0.002021,2020-06-03 03:07:00,0.716179,"2020","06","03 03:07:00"
99,5.922598,"Sentinel-2B","20200603T025549_20200603T030230_T50SNH",8.3e-05,2020-06-03 03:07:15,0.509348,"2020","06","03 03:07:15"
100,9.390191,"Sentinel-2A","20200628T025551_20200628T030457_T50SNH",0.001191,2020-06-28 03:07:19,0.162339,"2020","06","28 03:07:19"
101,10.885216,"Sentinel-2A","20200708T025551_20200708T030138_T50SNH",0.000219,2020-07-08 03:07:17,2.457882,"2020","07","08 03:07:17"
102,16.053504,"Sentinel-2B","20200723T025549_20200723T030230_T50SNH",0.00152,2020-07-23 03:07:15,11.385015,"2020","07","23 03:07:15"
103,7.585502,"Sentinel-2A","20200728T025551_20200728T030455_T50SNH",0.007306,2020-07-28 03:07:19,3.797263,"2020","07","28 03:07:19"
104,7.261311,"Sentinel-2B","20200802T025549_20200802T030256_T50SNJ",0.003016,2020-08-02 03:07:02,3.34993,"2020","08","02 03:07:02"
105,1.348846,"Sentinel-2B","20200901T025549_20200901T030025_T50SNJ",0.003361,2020-09-01 03:07:02,0.538891,"2020","09","01 03:07:02"
106,0.734888,"Sentinel-2B","20200901T025549_20200901T030025_T50SNH",7.3e-05,2020-09-01 03:07:16,0.13481,"2020","09","01 03:07:16"
107,8.587937,"Sentinel-2A","20200906T025551_20200906T025548_T50SNH",0.000116,2020-09-06 03:07:18,0.670731,"2020","09","06 03:07:18"
108,1.284885,"Sentinel-2A","20200916T025551_20200916T025548_T50SNJ",0.004768,2020-09-16 03:07:03,0.531658,"2020","09","16 03:07:03"
109,0.639324,"Sentinel-2A","20200916T025551_20200916T025548_T50SNH",0.000836,2020-09-16 03:07:18,0.16066,"2020","09","16 03:07:18"
110,17.451259,"Sentinel-2A","20200926T025551_20200926T030132_T50SNJ",0.018543,2020-09-26 03:07:04,9.105188,"2020","09","26 03:07:04"
111,11.115285,"Sentinel-2A","20200926T025551_20200926T030132_T50SNH",0.018444,2020-09-26 03:07:19,8.258042,"2020","09","26 03:07:19"
112,0.94399,"Sentinel-2A","20201016T025721_20201016T025715_T50SNJ",0.002293,2020-10-16 03:07:04,0.311174,"2020","10","16 03:07:04"
113,12.273718,"Sentinel-2A","20201016T025721_20201016T025715_T50SNH",0.00135,2020-10-16 03:07:19,1.64518,"2020","10","16 03:07:19"
114,2.492395,"Sentinel-2B","20201021T025749_20201021T030226_T50SNJ",0.003245,2020-10-21 03:07:02,0.29987,"2020","10","21 03:07:02"
115,11.307139,"Sentinel-2B","20201021T025749_20201021T030226_T50SNH",7e-06,2020-10-21 03:07:17,0.092856,"2020","10","21 03:07:17"
116,8.41481,"Sentinel-2A","20201026T025821_20201026T025817_T50SNJ",0.002488,2020-10-26 03:07:04,0.103673,"2020","10","26 03:07:04"
117,2.113513,"Sentinel-2A","20201026T025821_20201026T025817_T50SNH",0.00139,2020-10-26 03:07:19,0.076589,"2020","10","26 03:07:19"
118,0.883252,"Sentinel-2B","20201110T025939_20201110T025938_T50SNJ",0.002585,2020-11-10 03:07:00,0.149356,"2020","11","10 03:07:00"
